Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Torterra,Grass,Ground,95,109,105,75,85,56,4,FALSE
Chimchar,Fire,,44,58,44,58,44,61,4,FALSE
Monferno,Fire,Fighting,64,78,52,78,52,81,4,FALSE
Infernape,Fire,Fighting,76,104,71,104,71,108,4,FALSE
Piplup,Water,,53,51,53,61,56,40,4,FALSE
Prinplup,Water,,64,66,68,81,76,50,4,FALSE
Empoleon,Water,Steel,84,86,88,111,101,60,4,FALSE
Starly,Normal,Flying,40,55,30,30,30,60,4,FALSE
Staravia,Normal,Flying,55,75,50,40,40,80,4,FALSE
Staraptor,Normal,Flying,85,120,70,50,60,100,4,FALSE
Bidoof,Normal,,59,45,40,35,40,31,4,FALSE
Bibarel,Normal,Water,79,85,60,55,60,71,4,FALSE
Kricketot,Bug,,37,25,41,25,41,25,4,FALSE
Kricketune,Bug,,77,85,51,55,51,65,4,FALSE
Shinx,Electric,,45,65,34,40,34,45,4,FALSE
Luxio,Electric,,60,85,49,60,49,60,4,FALSE
Luxray,Electric,,80,120,79,95,79,70,4,FALSE
Budew,Grass,Poison,40,30,35,50,70,55,4,FALSE
Roserade,Grass,Poison,60,70,65,125,105,90,4,FALSE
Cranidos,Rock,,67,125,40,30,30,58,4,FALSE
Rampardos,Rock,,97,165,60,65,50,58,4,FALSE
Shieldon,Rock,Steel,30,42,118,42,88,30,4,FALSE
Bastiodon,Rock,Steel,60,52,168,47,138,30,4,FALSE
Burmy,Bug,,40,29,45,29,45,36,4,FALSE
WormadamPlant Cloak,Bug,Grass,60,59,85,79,105,36,4,FALSE
WormadamSandy Cloak,Bug,Ground,60,79,105,59,85,36,4,FALSE
WormadamTrash Cloak,Bug,Steel,60,69,95,69,95,36,4,FALSE
Mothim,Bug,Flying,70,94,50,94,50,66,4,FALSE
Combee,Bug,Flying,30,30,42,30,42,70,4,FALSE
Vespiquen,Bug,Flying,70,80,102,80,102,40,4,FALSE
Pachirisu,Electric,,60,45,70,45,90,95,4,FALSE
Buizel,Water,,55,65,35,60,30,85,4,FALSE
Floatzel,Water,,85,105,55,85,50,115,4,FALSE
Cherubi,Grass,,45,35,45,62,53,35,4,FALSE
Cherrim,Grass,,70,60,70,87,78,85,4,FALSE
Shellos,Water,,76,48,48,57,62,34,4,FALSE
Gastrodon,Water,Ground,111,83,68,92,82,39,4,FALSE
Ambipom,Normal,,75,100,66,60,66,115,4,FALSE
Drifloon,Ghost,Flying,90,50,34,60,44,70,4,FALSE
Drifblim,Ghost,Flying,150,80,44,90,54,80,4,FALSE
Buneary,Normal,,55,66,44,44,56,85,4,FALSE
Lopunny,Normal,,65,76,84,54,96,105,4,FALSE
LopunnyMega Lopunny,Normal,Fighting,65,136,94,54,96,135,4,FALSE
Mismagius,Ghost,,60,60,60,105,105,105,4,FALSE
Honchkrow,Dark,Flying,100,125,52,105,52,71,4,FALSE
Glameow,Normal,,49,55,42,42,37,85,4,FALSE
Purugly,Normal,,71,82,64,64,59,112,4,FALSE
Chingling,Psychic,,45,30,50,65,50,45,4,FALSE
Stunky,Poison,Dark,63,63,47,41,41,74,4,FALSE
Skuntank,Poison,Dark,103,93,67,71,61,84,4,FALSE
Bronzor,Steel,Psychic,57,24,86,24,86,23,4,FALSE
Bronzong,Steel,Psychic,67,89,116,79,116,33,4,FALSE
Bonsly,Rock,,50,80,95,10,45,10,4,FALSE
Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,4,FALSE
Happiny,Normal,,100,5,5,15,65,30,4,FALSE
Chatot,Normal,Flying,76,65,45,92,42,91,4,FALSE
Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,FALSE
Gible,Dragon,Ground,58,70,45,40,45,42,4,FALSE
Gabite,Dragon,Ground,68,90,65,50,55,82,4,FALSE
Garchomp,Dragon,Ground,108,130,95,80,85,102,4,FALSE
GarchompMega Garchomp,Dragon,Ground,108,170,115,120,95,92,4,FALSE
Munchlax,Normal,,135,85,40,40,85,5,4,FALSE
Riolu,Fighting,,40,70,40,35,40,60,4,FALSE
Lucario,Fighting,Steel,70,110,70,115,70,90,4,FALSE
LucarioMega Lucario,Fighting,Steel,70,145,88,140,70,112,4,FALSE
Hippopotas,Ground,,68,72,78,38,42,32,4,FALSE
Hippowdon,Ground,,108,112,118,68,72,47,4,FALSE
Skorupi,Poison,Bug,40,50,90,30,55,65,4,FALSE
Drapion,Poison,Dark,70,90,110,60,75,95,4,FALSE
Croagunk,Poison,Fighting,48,61,40,61,40,50,4,FALSE
Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,FALSE
Carnivine,Grass,,74,100,72,90,72,46,4,FALSE
Finneon,Water,,49,49,56,49,61,66,4,FALSE
Lumineon,Water,,69,69,76,69,86,91,4,FALSE
Mantyke,Water,Flying,45,20,50,60,120,50,4,FALSE
Snover,Grass,Ice,60,62,50,62,60,40,4,FALSE
Abomasnow,Grass,Ice,90,92,75,92,85,60,4,FALSE
AbomasnowMega Abomasnow,Grass,Ice,90,132,105,132,105,30,4,FALSE
Weavile,Dark,Ice,70,120,65,45,85,125,4,FALSE
Magnezone,Electric,Steel,70,70,115,130,90,60,4,FALSE
Lickilicky,Normal,,110,85,95,80,95,50,4,FALSE
Rhyperior,Ground,Rock,115,140,130,55,55,40,4,FALSE
Tangrowth,Grass,,100,100,125,110,50,50,4,FALSE
Electivire,Electric,,75,123,67,95,85,95,4,FALSE
Magmortar,Fire,,75,95,67,125,95,83,4,FALSE
Togekiss,Fairy,Flying,85,50,95,120,115,80,4,FALSE
Yanmega,Bug,Flying,86,76,86,116,56,95,4,FALSE
Leafeon,Grass,,65,110,130,60,65,95,4,FALSE
Glaceon,Ice,,65,60,110,130,95,65,4,FALSE
Gliscor,Ground,Flying,75,95,125,45,75,95,4,FALSE
Mamoswine,Ice,Ground,110,130,80,70,60,80,4,FALSE
Porygon-Z,Normal,,85,80,70,135,75,90,4,FALSE
Gallade,Psychic,Fighting,68,125,65,65,115,80,4,FALSE
GalladeMega Gallade,Psychic,Fighting,68,165,95,65,115,110,4,FALSE
Probopass,Rock,Steel,60,55,145,75,150,40,4,FALSE
Dusknoir,Ghost,,45,100,135,65,135,45,4,FALSE
Froslass,Ice,Ghost,70,80,70,80,70,110,4,FALSE
Rotom,Electric,Ghost,50,50,77,95,77,91,4,FALSE
RotomHeat Rotom,Electric,Fire,50,65,107,105,107,86,4,FALSE
RotomWash Rotom,Electric,Water,50,65,107,105,107,86,4,FALSE
RotomFrost Rotom,Electric,Ice,50,65,107,105,107,86,4,FALSE
RotomFan Rotom,Electric,Flying,50,65,107,105,107,86,4,FALSE
RotomMow Rotom,Electric,Grass,50,65,107,105,107,86,4,FALSE
Uxie,Psychic,,75,75,130,75,130,95,4,TRUE
Mesprit,Psychic,,80,105,105,105,105,80,4,TRUE
Azelf,Psychic,,75,125,70,125,70,115,4,TRUE
Dialga,Steel,Dragon,100,120,120,150,100,90,4,TRUE
Palkia,Water,Dragon,90,120,100,150,120,100,4,TRUE
Heatran,Fire,Steel,91,90,106,130,106,77,4,TRUE
Regigigas,Normal,,110,160,110,80,110,100,4,TRUE
GiratinaAltered Forme,Ghost,Dragon,150,100,120,100,120,90,4,TRUE
GiratinaOrigin Forme,Ghost,Dragon,150,120,100,120,100,90,4,TRUE
Cresselia,Psychic,,120,70,120,75,130,85,4,FALSE
Phione,Water,,80,80,80,80,80,80,4,FALSE
Manaphy,Water,,100,100,100,100,100,100,4,FALSE
Darkrai,Dark,,70,90,90,135,90,125,4,TRUE
ShayminLand Forme,Grass,,100,100,100,100,100,100,4,TRUE
ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,4,TRUE
Arceus,Normal,,120,120,120,120,120,120,4,TRUE
Victini,Psychic,Fire,100,100,100,100,100,100,5,TRUE
Snivy,Grass,,45,45,55,45,55,63,5,FALSE
Servine,Grass,,60,60,75,60,75,83,5,FALSE
Serperior,Grass,,75,75,95,75,95,113,5,FALSE
Tepig,Fire,,65,63,45,45,45,45,5,FALSE
Pignite,Fire,Fighting,90,93,55,70,55,55,5,FALSE
Emboar,Fire,Fighting,110,123,65,100,65,65,5,FALSE
Oshawott,Water,,55,55,45,63,45,45,5,FALSE
Dewott,Water,,75,75,60,83,60,60,5,FALSE
Samurott,Water,,95,100,85,108,70,70,5,FALSE
Patrat,Normal,,45,55,39,35,39,42,5,FALSE
Watchog,Normal,,60,85,69,60,69,77,5,FALSE
Lillipup,Normal,,45,60,45,25,45,55,5,FALSE
Herdier,Normal,,65,80,65,35,65,60,5,FALSE
Stoutland,Normal,,85,110,90,45,90,80,5,FALSE
Purrloin,Dark,,41,50,37,50,37,66,5,FALSE
Liepard,Dark,,64,88,50,88,50,106,5,FALSE
Pansage,Grass,,50,53,48,53,48,64,5,FALSE
Simisage,Grass,,75,98,63,98,63,101,5,FALSE
Pansear,Fire,,50,53,48,53,48,64,5,FALSE
Simisear,Fire,,75,98,63,98,63,101,5,FALSE
Panpour,Water,,50,53,48,53,48,64,5,FALSE
Simipour,Water,,75,98,63,98,63,101,5,FALSE
Munna,Psychic,,76,25,45,67,55,24,5,FALSE
Musharna,Psychic,,116,55,85,107,95,29,5,FALSE
Pidove,Normal,Flying,50,55,50,36,30,43,5,FALSE
Tranquill,Normal,Flying,62,77,62,50,42,65,5,FALSE
Unfezant,Normal,Flying,80,115,80,65,55,93,5,FALSE
Blitzle,Electric,,45,60,32,50,32,76,5,FALSE
Zebstrika,Electric,,75,100,63,80,63,116,5,FALSE
Roggenrola,Rock,,55,75,85,25,25,15,5,FALSE
Boldore,Rock,,70,105,105,50,40,20,5,FALSE
Gigalith,Rock,,85,135,130,60,80,25,5,FALSE
Woobat,Psychic,Flying,55,45,43,55,43,72,5,FALSE
Swoobat,Psychic,Flying,67,57,55,77,55,114,5,FALSE
Drilbur,Ground,,60,85,40,30,45,68,5,FALSE
Excadrill,Ground,Steel,110,135,60,50,65,88,5,FALSE
Audino,Normal,,103,60,86,60,86,50,5,FALSE
AudinoMega Audino,Normal,Fairy,103,60,126,80,126,50,5,FALSE
Timburr,Fighting,,75,80,55,25,35,35,5,FALSE
Gurdurr,Fighting,,85,105,85,40,50,40,5,FALSE
Conkeldurr,Fighting,,105,140,95,55,65,45,5,FALSE
Tympole,Water,,50,50,40,50,40,64,5,FALSE
Palpitoad,Water,Ground,75,65,55,65,55,69,5,FALSE
Seismitoad,Water,Ground,105,95,75,85,75,74,5,FALSE
Throh,Fighting,,120,100,85,30,85,45,5,FALSE
Sawk,Fighting,,75,125,75,30,75,85,5,FALSE
Sewaddle,Bug,Grass,45,53,70,40,60,42,5,FALSE
Swadloon,Bug,Grass,55,63,90,50,80,42,5,FALSE
Leavanny,Bug,Grass,75,103,80,70,80,92,5,FALSE
Venipede,Bug,Poison,30,45,59,30,39,57,5,FALSE
Whirlipede,Bug,Poison,40,55,99,40,79,47,5,FALSE
Scolipede,Bug,Poison,60,100,89,55,69,112,5,FALSE
Cottonee,Grass,Fairy,40,27,60,37,50,66,5,FALSE
Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,FALSE
Petilil,Grass,,45,35,50,70,50,30,5,FALSE
Lilligant,Grass,,70,60,75,110,75,90,5,FALSE
Basculin,Water,,70,92,65,80,55,98,5,FALSE
Sandile,Ground,Dark,50,72,35,35,35,65,5,FALSE
Krokorok,Ground,Dark,60,82,45,45,45,74,5,FALSE
Krookodile,Ground,Dark,95,117,80,65,70,92,5,FALSE
Darumaka,Fire,,70,90,45,15,45,50,5,FALSE
DarmanitanStandard Mode,Fire,,105,140,55,30,55,95,5,FALSE
DarmanitanZen Mode,Fire,Psychic,105,30,105,140,105,55,5,FALSE
Maractus,Grass,,75,86,67,106,67,60,5,FALSE
Dwebble,Bug,Rock,50,65,85,35,35,55,5,FALSE
Crustle,Bug,Rock,70,95,125,65,75,45,5,FALSE
Scraggy,Dark,Fighting,50,75,70,35,70,48,5,FALSE
Scrafty,Dark,Fighting,65,90,115,45,115,58,5,FALSE
Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,FALSE
Yamask,Ghost,,38,30,85,55,65,30,5,FALSE
Cofagrigus,Ghost,,58,50,145,95,105,30,5,FALSE
Tirtouga,Water,Rock,54,78,103,53,45,22,5,FALSE
Carracosta,Water,Rock,74,108,133,83,65,32,5,FALSE
Archen,Rock,Flying,55,112,45,74,45,70,5,FALSE
Archeops,Rock,Flying,75,140,65,112,65,110,5,FALSE
Trubbish,Poison,,50,50,62,40,62,65,5,FALSE
Garbodor,Poison,,80,95,82,60,82,75,5,FALSE
Zorua,Dark,,40,65,40,80,40,65,5,FALSE
Zoroark,Dark,,60,105,60,120,60,105,5,FALSE
Minccino,Normal,,55,50,40,40,40,75,5,FALSE
Cinccino,Normal,,75,95,60,65,60,115,5,FALSE
Gothita,Psychic,,45,30,50,55,65,45,5,FALSE
Gothorita,Psychic,,60,45,70,75,85,55,5,FALSE
Gothitelle,Psychic,,70,55,95,95,110,65,5,FALSE
Solosis,Psychic,,45,30,40,105,50,20,5,FALSE
Duosion,Psychic,,65,40,50,125,60,30,5,FALSE
Reuniclus,Psychic,,110,65,75,125,85,30,5,FALSE
Ducklett,Water,Flying,62,44,50,44,50,55,5,FALSE
Swanna,Water,Flying,75,87,63,87,63,98,5,FALSE
Vanillite,Ice,,36,50,50,65,60,44,5,FALSE
Vanillish,Ice,,51,65,65,80,75,59,5,FALSE
Vanilluxe,Ice,,71,95,85,110,95,79,5,FALSE
Deerling,Normal,Grass,60,60,50,40,50,75,5,FALSE
Sawsbuck,Normal,Grass,80,100,70,60,70,95,5,FALSE
Emolga,Electric,Flying,55,75,60,75,60,103,5,FALSE
Karrablast,Bug,,50,75,45,40,45,60,5,FALSE
Escavalier,Bug,Steel,70,135,105,60,105,20,5,FALSE
Foongus,Grass,Poison,69,55,45,55,55,15,5,FALSE
Amoonguss,Grass,Poison,114,85,70,85,80,30,5,FALSE
Frillish,Water,Ghost,55,40,50,65,85,40,5,FALSE
Jellicent,Water,Ghost,100,60,70,85,105,60,5,FALSE
Alomomola,Water,,165,75,80,40,45,65,5,FALSE
Joltik,Bug,Electric,50,47,50,57,50,65,5,FALSE
Galvantula,Bug,Electric,70,77,60,97,60,108,5,FALSE
Ferroseed,Grass,Steel,44,50,91,24,86,10,5,FALSE
Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,FALSE
Klink,Steel,,40,55,70,45,60,30,5,FALSE
Klang,Steel,,60,80,95,70,85,50,5,FALSE
Klinklang,Steel,,60,100,115,70,85,90,5,FALSE
Tynamo,Electric,,35,55,40,45,40,60,5,FALSE
Eelektrik,Electric,,65,85,70,75,70,40,5,FALSE
Eelektross,Electric,,85,115,80,105,80,50,5,FALSE
Elgyem,Psychic,,55,55,55,85,55,30,5,FALSE
Beheeyem,Psychic,,75,75,75,125,95,40,5,FALSE
Litwick,Ghost,Fire,50,30,55,65,55,20,5,FALSE
Lampent,Ghost,Fire,60,40,60,95,60,55,5,FALSE
Chandelure,Ghost,Fire,60,55,90,145,90,80,5,FALSE
Axew,Dragon,,46,87,60,30,40,57,5,FALSE
Fraxure,Dragon,,66,117,70,40,50,67,5,FALSE
Haxorus,Dragon,,76,147,90,60,70,97,5,FALSE
Cubchoo,Ice,,55,70,40,60,40,40,5,FALSE
Beartic,Ice,,95,110,80,70,80,50,5,FALSE
Cryogonal,Ice,,70,50,30,95,135,105,5,FALSE
Shelmet,Bug,,50,40,85,40,65,25,5,FALSE
Accelgor,Bug,,80,70,40,100,60,145,5,FALSE
Stunfisk,Ground,Electric,109,66,84,81,99,32,5,FALSE
Mienfoo,Fighting,,45,85,50,55,50,65,5,FALSE
Mienshao,Fighting,,65,125,60,95,60,105,5,FALSE
Druddigon,Dragon,,77,120,90,60,90,48,5,FALSE
Golett,Ground,Ghost,59,74,50,35,50,35,5,FALSE
Golurk,Ground,Ghost,89,124,80,55,80,55,5,FALSE
Pawniard,Dark,Steel,45,85,70,40,40,60,5,FALSE
Bisharp,Dark,Steel,65,125,100,60,70,70,5,FALSE
Bouffalant,Normal,,95,110,95,40,95,55,5,FALSE
Rufflet,Normal,Flying,70,83,50,37,50,60,5,FALSE
Braviary,Normal,Flying,100,123,75,57,75,80,5,FALSE
Vullaby,Dark,Flying,70,55,75,45,65,60,5,FALSE
Mandibuzz,Dark,Flying,110,65,105,55,95,80,5,FALSE
Heatmor,Fire,,85,97,66,105,66,65,5,FALSE
Durant,Bug,Steel,58,109,112,48,48,109,5,FALSE
Deino,Dark,Dragon,52,65,50,45,50,38,5,FALSE
Zweilous,Dark,Dragon,72,85,70,65,70,58,5,FALSE
Hydreigon,Dark,Dragon,92,105,90,125,90,98,5,FALSE
Larvesta,Bug,Fire,55,85,55,50,55,60,5,FALSE
Volcarona,Bug,Fire,85,60,65,135,105,100,5,FALSE
Cobalion,Steel,Fighting,91,90,129,90,72,108,5,TRUE
Terrakion,Rock,Fighting,91,129,90,72,90,108,5,TRUE
Virizion,Grass,Fighting,91,90,72,90,129,108,5,TRUE
TornadusIncarnate Forme,Flying,,79,115,70,125,80,111,5,TRUE
TornadusTherian Forme,Flying,,79,100,80,110,90,121,5,TRUE
ThundurusIncarnate Forme,Electric,Flying,79,115,70,125,80,111,5,TRUE
ThundurusTherian Forme,Electric,Flying,79,105,70,145,80,101,5,TRUE
Reshiram,Dragon,Fire,100,120,100,150,120,90,5,TRUE
Zekrom,Dragon,Electric,100,150,120,120,100,90,5,TRUE
LandorusIncarnate Forme,Ground,Flying,89,125,90,115,80,101,5,TRUE
LandorusTherian Forme,Ground,Flying,89,145,90,105,80,91,5,TRUE
Kyurem,Dragon,Ice,125,130,90,130,90,95,5,TRUE
KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,5,TRUE
KyuremWhite Kyurem,Dragon,Ice,125,120,90,170,100,95,5,TRUE
KeldeoOrdinary Forme,Water,Fighting,91,72,90,129,90,108,5,FALSE
KeldeoResolute Forme,Water,Fighting,91,72,90,129,90,108,5,FALSE
MeloettaAria Forme,Normal,Psychic,100,77,77,128,128,90,5,FALSE
MeloettaPirouette Forme,Normal,Fighting,100,128,90,77,77,128,5,FALSE
Genesect,Bug,Steel,71,120,95,120,95,99,5,FALSE
Chespin,Grass,,56,61,65,48,45,38,6,FALSE
Quilladin,Grass,,61,78,95,56,58,57,6,FALSE
Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,FALSE
Fennekin,Fire,,40,45,40,62,60,60,6,FALSE
Braixen,Fire,,59,59,58,90,70,73,6,FALSE
Delphox,Fire,Psychic,75,69,72,114,100,104,6,FALSE
Froakie,Water,,41,56,40,62,44,71,6,FALSE
Frogadier,Water,,54,63,52,83,56,97,6,FALSE
Greninja,Water,Dark,72,95,67,103,71,122,6,FALSE
Bunnelby,Normal,,38,36,38,32,36,57,6,FALSE
Diggersby,Normal,Ground,85,56,77,50,77,78,6,FALSE
Fletchling,Normal,Flying,45,50,43,40,38,62,6,FALSE
Fletchinder,Fire,Flying,62,73,55,56,52,84,6,FALSE
Talonflame,Fire,Flying,78,81,71,74,69,126,6,FALSE
Scatterbug,Bug,,38,35,40,27,25,35,6,FALSE
Spewpa,Bug,,45,22,60,27,30,29,6,FALSE
Vivillon,Bug,Flying,80,52,50,90,50,89,6,FALSE
Litleo,Fire,Normal,62,50,58,73,54,72,6,FALSE
Pyroar,Fire,Normal,86,68,72,109,66,106,6,FALSE
Flabébé,Fairy,,44,38,39,61,79,42,6,FALSE
Floette,Fairy,,54,45,47,75,98,52,6,FALSE
Florges,Fairy,,78,65,68,112,154,75,6,FALSE
Skiddo,Grass,,66,65,48,62,57,52,6,FALSE
Gogoat,Grass,,123,100,62,97,81,68,6,FALSE
Pancham,Fighting,,67,82,62,46,48,43,6,FALSE
Pangoro,Fighting,Dark,95,124,78,69,71,58,6,FALSE
Furfrou,Normal,,75,80,60,65,90,102,6,FALSE
Espurr,Psychic,,62,48,54,63,60,68,6,FALSE
MeowsticMale,Psychic,,74,48,76,83,81,104,6,FALSE
MeowsticFemale,Psychic,,74,48,76,83,81,104,6,FALSE
Honedge,Steel,Ghost,45,80,100,35,37,28,6,FALSE
Doublade,Steel,Ghost,59,110,150,45,49,35,6,FALSE
AegislashBlade Forme,Steel,Ghost,60,150,50,150,50,60,6,FALSE
AegislashShield Forme,Steel,Ghost,60,50,150,50,150,60,6,FALSE
Spritzee,Fairy,,78,52,60,63,65,23,6,FALSE
Aromatisse,Fairy,,101,72,72,99,89,29,6,FALSE
Swirlix,Fairy,,62,48,66,59,57,49,6,FALSE
Slurpuff,Fairy,,82,80,86,85,75,72,6,FALSE
Inkay,Dark,Psychic,53,54,53,37,46,45,6,FALSE
Malamar,Dark,Psychic,86,92,88,68,75,73,6,FALSE
Binacle,Rock,Water,42,52,67,39,56,50,6,FALSE
Barbaracle,Rock,Water,72,105,115,54,86,68,6,FALSE
Skrelp,Poison,Water,50,60,60,60,60,30,6,FALSE
Dragalge,Poison,Dragon,65,75,90,97,123,44,6,FALSE
Clauncher,Water,,50,53,62,58,63,44,6,FALSE
Clawitzer,Water,,71,73,88,120,89,59,6,FALSE
Helioptile,Electric,Normal,44,38,33,61,43,70,6,FALSE
Heliolisk,Electric,Normal,62,55,52,109,94,109,6,FALSE
Tyrunt,Rock,Dragon,58,89,77,45,45,48,6,FALSE
Tyrantrum,Rock,Dragon,82,121,119,69,59,71,6,FALSE
Amaura,Rock,Ice,77,59,50,67,63,46,6,FALSE
Aurorus,Rock,Ice,123,77,72,99,92,58,6,FALSE
Sylveon,Fairy,,95,65,65,110,130,60,6,FALSE
Hawlucha,Fighting,Flying,78,92,75,74,63,118,6,FALSE
Dedenne,Electric,Fairy,67,58,57,81,67,101,6,FALSE
Carbink,Rock,Fairy,50,50,150,50,150,50,6,FALSE
Goomy,Dragon,,45,50,35,55,75,40,6,FALSE
Sliggoo,Dragon,,68,75,53,83,113,60,6,FALSE
Goodra,Dragon,,90,100,70,110,150,80,6,FALSE
Klefki,Steel,Fairy,57,80,91,80,87,75,6,FALSE
Phantump,Ghost,Grass,43,70,48,50,60,38,6,FALSE
Trevenant,Ghost,Grass,85,110,76,65,82,56,6,FALSE
PumpkabooAverage Size,Ghost,Grass,49,66,70,44,55,51,6,FALSE
PumpkabooSmall Size,Ghost,Grass,44,66,70,44,55,56,6,FALSE
PumpkabooLarge Size,Ghost,Grass,54,66,70,44,55,46,6,FALSE
PumpkabooSuper Size,Ghost,Grass,59,66,70,44,55,41,6,FALSE
GourgeistAverage Size,Ghost,Grass,65,90,122,58,75,84,6,FALSE
GourgeistSmall Size,Ghost,Grass,55,85,122,58,75,99,6,FALSE
GourgeistLarge Size,Ghost,Grass,75,95,122,58,75,69,6,FALSE
GourgeistSuper Size,Ghost,Grass,85,100,122,58,75,54,6,FALSE
Bergmite,Ice,,55,69,85,32,35,28,6,FALSE
Avalugg,Ice,,95,117,184,44,46,28,6,FALSE
Noibat,Flying,Dragon,40,30,35,45,40,55,6,FALSE
Noivern,Flying,Dragon,85,70,80,97,80,123,6,FALSE
Xerneas,Fairy,,126,131,95,131,98,99,6,TRUE
Yveltal,Dark,Flying,126,131,95,131,98,99,6,TRUE
Zygarde50% Forme,Dragon,Ground,108,100,121,81,95,95,6,TRUE
Diancie,Rock,Fairy,50,100,150,100,150,50,6,TRUE
DiancieMega Diancie,Rock,Fairy,50,160,110,160,110,110,6,TRUE
HoopaHoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,TRUE
HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,TRUE
Volcanion,Fire,Water,80,110,120,130,90,70,6,TRUE
